time_iso8601,forks_cumulative
2023-03-16 00:00:00+00:00,1
2023-03-17 00:00:00+00:00,2
2023-03-18 00:00:00+00:00,4
2023-03-20 00:00:00+00:00,5
2023-03-28 00:00:00+00:00,7
2023-03-29 00:00:00+00:00,10
2023-03-30 00:00:00+00:00,13
2023-03-31 00:00:00+00:00,17
2023-04-01 00:00:00+00:00,23
2023-04-02 00:00:00+00:00,99
2023-04-03 00:00:00+00:00,348
2023-04-04 00:00:00+00:00,585
2023-04-05 00:00:00+00:00,846
2023-04-06 00:00:00+00:00,1128
2023-04-07 00:00:00+00:00,1432
2023-04-08 00:00:00+00:00,1707
2023-04-09 00:00:00+00:00,1955
2023-04-10 00:00:00+00:00,2269
2023-04-11 00:00:00+00:00,2685
2023-04-12 00:00:00+00:00,3638
2023-04-13 00:00:00+00:00,5323
2023-04-14 00:00:00+00:00,7236
2023-04-15 00:00:00+00:00,8533
2023-04-16 00:00:00+00:00,9598
2023-04-17 00:00:00+00:00,10945
2023-04-18 00:00:00+00:00,11870
2023-04-19 00:00:00+00:00,12540
2023-04-20 00:00:00+00:00,13134
2023-04-21 00:00:00+00:00,13632
2023-04-22 00:00:00+00:00,14039
2023-04-23 00:00:00+00:00,14652
2023-04-24 00:00:00+00:00,15964
2023-04-25 00:00:00+00:00,16936
2023-04-26 00:00:00+00:00,17557
2023-04-27 00:00:00+00:00,18387
2023-04-28 00:00:00+00:00,18894
2023-04-29 00:00:00+00:00,19197
2023-04-30 00:00:00+00:00,19470
2023-05-01 00:00:00+00:00,19744
2023-05-02 00:00:00+00:00,20018
2023-05-03 00:00:00+00:00,20325
2023-05-04 00:00:00+00:00,20658
2023-05-05 00:00:00+00:00,20942
2023-05-06 00:00:00+00:00,21235
2023-05-07 00:00:00+00:00,21458
2023-05-08 00:00:00+00:00,21682
2023-05-09 00:00:00+00:00,21872
2023-05-10 00:00:00+00:00,22065
2023-05-11 00:00:00+00:00,22224
2023-05-12 00:00:00+00:00,22368
2023-05-13 00:00:00+00:00,22483
2023-05-14 00:00:00+00:00,22615
2023-05-15 00:00:00+00:00,22760
2023-05-16 00:00:00+00:00,22894
2023-05-17 00:00:00+00:00,23025
2023-05-18 00:00:00+00:00,23152
2023-05-19 00:00:00+00:00,23265
2023-05-20 00:00:00+00:00,23362
2023-05-21 00:00:00+00:00,23441
2023-05-22 00:00:00+00:00,23608
2023-05-23 00:00:00+00:00,23722
2023-05-24 00:00:00+00:00,23834
2023-05-25 00:00:00+00:00,23953
2023-05-26 00:00:00+00:00,24066
2023-05-27 00:00:00+00:00,24147
2023-05-28 00:00:00+00:00,24216
2023-05-29 00:00:00+00:00,24299
2023-05-30 00:00:00+00:00,24385
2023-05-31 00:00:00+00:00,24469
2023-06-01 00:00:00+00:00,24522
2023-06-02 00:00:00+00:00,24594
2023-06-03 00:00:00+00:00,24670
2023-06-04 00:00:00+00:00,24726
2023-06-05 00:00:00+00:00,24823
2023-06-06 00:00:00+00:00,24905
2023-06-07 00:00:00+00:00,24972
2023-06-08 00:00:00+00:00,25045
2023-06-09 00:00:00+00:00,25107
2023-06-10 00:00:00+00:00,25150
2023-06-11 00:00:00+00:00,25204
