time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-22 00:00:00+00:00,28217,1875,3096,1714
2026-04-23 00:00:00+00:00,16799,1615,2909,1610
2026-04-24 00:00:00+00:00,16115,1796,3008,1652
2026-04-25 00:00:00+00:00,8497,993,2609,1448
2026-04-26 00:00:00+00:00,2790,763,2322,1227
2026-04-27 00:00:00+00:00,12718,1220,3337,1835
2026-04-28 00:00:00+00:00,10769,1117,2667,1552
2026-04-29 00:00:00+00:00,11093,948,2790,1514
2026-04-30 00:00:00+00:00,15041,1016,2776,1518
2026-05-01 00:00:00+00:00,10318,1184,3051,1533
2026-05-02 00:00:00+00:00,4111,762,2001,1138
2026-05-03 00:00:00+00:00,2516,515,2158,1221
2026-05-04 00:00:00+00:00,7833,1008,2287,1267
2026-05-05 00:00:00+00:00,7206,1066,2208,1220
